DATAFLOW,LAST UPDATE,freq,unit,agriprod,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT22,2019,525,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT22,2020,521,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT22,2021,524,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT22,2022,522,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT3,2011,317,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT3,2012,323,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT3,2013,348,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT3,2014,354,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT3,2015,371,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT3,2016,377,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT3,2017,391,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT3,2018,393,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT3,2019,392,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT3,2020,394,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT3,2021,394,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT3,2022,395,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT31,2011,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT31,2012,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT31,2013,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT31,2014,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT31,2015,365,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT31,2016,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT31,2017,384,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT31,2018,387,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT31,2019,385,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT31,2020,391,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT31,2021,389,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT31,2022,392,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT32,2011,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT32,2012,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT32,2013,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT32,2014,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT32,2015,502,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT32,2016,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT32,2017,492,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT32,2018,499,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT32,2019,511,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT32,2020,504,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT32,2021,490,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT32,2022,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT33,2011,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT33,2012,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT33,2013,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT33,2014,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT33,2015,525,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT33,2016,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT33,2017,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT33,2018,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT33,2019,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT33,2020,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT33,2021,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT33,2022,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT34,2011,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT34,2012,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT34,2013,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT34,2014,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT34,2015,203,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT34,2016,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT34,2017,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT34,2018,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT34,2019,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT34,2020,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT34,2021,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT34,2022,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE,2013,256,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE,2014,291,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE,2015,299,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE,2016,301,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE,2017,309,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE,2018,305,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE,2019,304,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE,2020,270,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE,2021,322,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE,2022,329,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE2,2013,302,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE2,2014,360,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE2,2015,364,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE2,2016,375,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE2,2017,382,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE2,2018,381,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE2,2019,380,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE2,2020,391,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE2,2021,410,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE2,2022,424,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE21,2013,306,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE21,2014,346,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE21,2015,386,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE21,2016,395,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE21,2017,399,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE21,2018,366,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE21,2019,385,e
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE21,2020,381,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,BE21,2021,430,
